
SPDR S&P 500 ETF Trust,Last: 519.05,Change:  0.62
"Date: April 8, 2024 at 11:57 AM EDT",Bid: 519.04,Ask: 519.05,Size: 1*7,"Volume: 14,688,315"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 08 2024,SPY240408C00528000,0.01,-0.005,0,0.01,9435,0.2809,0.0055,0.0045,3768,528.00,SPY240408P00528000,7.93,-1.835,8.73,9.13,3,0,-0.9945,0.0045,22
Mon Apr 08 2024,SPY240408C00529000,0.01,-0.005,0,0.01,573,0.3085,0.0047,0.0036,3191,529.00,SPY240408P00529000,9.33,-1.45,9.72,10.12,6,0,-0.9953,0.0036,0
Tue Apr 09 2024,SPY240409C00510000,9.31,0.515,9.15,9.28,64,0.1769,0.9592,0.0166,322,510.00,SPY240409P00510000,0.08,-0.365,0.07,0.08,8193,0.1733,-0.0408,0.0165,9817
Tue Apr 09 2024,SPY240409C00511000,8.65,0.745,8.18,8.3,17,0.1709,0.9469,0.0213,239,511.00,SPY240409P00511000,0.12,-0.435,0.1,0.11,3415,0.1681,-0.0531,0.0213,4092
Tue Apr 09 2024,SPY240409C00512000,7.37,0.325,7.22,7.34,31,0.1633,0.9294,0.0277,583,512.00,SPY240409P00512000,0.15,-0.525,0.14,0.15,4991,0.1624,-0.0707,0.0276,3128
Tue Apr 09 2024,SPY240409C00513000,6.42,0.205,6.28,6.4,194,0.1592,0.9046,0.0359,1072,513.00,SPY240409P00513000,0.2,-0.65,0.2,0.21,6939,0.1575,-0.0955,0.0359,8169
Tue Apr 09 2024,SPY240409C00514000,5.22,-0.185,5.38,5.48,120,0.1541,0.8707,0.0461,1272,514.00,SPY240409P00514000,0.3,-0.745,0.29,0.3,8490,0.1535,-0.1295,0.0461,11192
Tue Apr 09 2024,SPY240409C00515000,4.4,-0.245,4.51,4.6,472,0.1499,0.8254,0.058,1093,515.00,SPY240409P00515000,0.41,-0.87,0.41,0.42,16524,0.1488,-0.1749,0.058,11596
Tue Apr 09 2024,SPY240409C00516000,3.55,-0.37,3.69,3.75,883,0.1451,0.7671,0.0708,1585,516.00,SPY240409P00516000,0.59,-0.98,0.59,0.6,16420,0.1458,-0.2334,0.0709,4094
Tue Apr 09 2024,SPY240409C00517000,2.93,-0.315,2.93,2.96,2226,0.1415,0.6952,0.0832,1950,517.00,SPY240409P00517000,0.83,-1.07,0.81,0.83,25119,0.1406,-0.3056,0.0835,3258
Tue Apr 09 2024,SPY240409C00518000,2.25,-0.395,2.24,2.27,10292,0.1375,0.6103,0.0937,4064,518.00,SPY240409P00518000,1.11,-1.18,1.12,1.14,36941,0.137,-0.3909,0.094,4700
Tue Apr 09 2024,SPY240409C00519000,1.68,-0.42,1.65,1.66,35305,0.1336,0.5148,0.1,5062,519.00,SPY240409P00519000,1.53,-1.22,1.52,1.53,41804,0.1331,-0.4869,0.1005,3682
Tue Apr 09 2024,SPY240409C00520000,1.15,-0.47,1.14,1.15,50030,0.1304,0.4133,0.1005,5260,520.00,SPY240409P00520000,2.01,-1.265,2.01,2.03,16445,0.1288,-0.5892,0.1012,2157
Tue Apr 09 2024,SPY240409C00521000,0.76,-0.45,0.75,0.76,24259,0.1267,0.3123,0.0938,4276,521.00,SPY240409P00521000,2.62,-1.25,2.61,2.64,2381,0.1247,-0.6912,0.0948,1425
Tue Apr 09 2024,SPY240409C00522000,0.47,-0.405,0.46,0.47,16242,0.1239,0.2202,0.0805,7035,522.00,SPY240409P00522000,3.26,-1.27,3.3,3.37,1177,0.1216,-0.7847,0.0816,1905
Tue Apr 09 2024,SPY240409C00523000,0.28,-0.325,0.27,0.28,11001,0.1227,0.1456,0.0629,3981,523.00,SPY240409P00523000,4.16,-1.115,4.1,4.21,418,0.1195,-0.8609,0.0643,1655
Tue Apr 09 2024,SPY240409C00524000,0.16,-0.245,0.15,0.16,10214,0.1222,0.093,0.0456,3228,524.00,SPY240409P00524000,5.04,-1.04,4.97,5.1,184,0.1192,-0.915,0.0471,2080
Tue Apr 09 2024,SPY240409C00525000,0.09,-0.175,0.08,0.09,17425,0.1226,0.0584,0.0314,17354,525.00,SPY240409P00525000,6.29,-0.655,5.92,6.05,84,0.12,-0.951,0.0331,588
Tue Apr 09 2024,SPY240409C00526000,0.05,-0.115,0.04,0.05,4113,0.1233,0.0361,0.0209,15197,526.00,SPY240409P00526000,7.19,-0.67,6.89,7.03,24,0.1222,-0.9746,0.0225,969
Tue Apr 09 2024,SPY240409C00527000,0.04,-0.065,0.03,0.04,2661,0.1319,0.0229,0.0139,9206,527.00,SPY240409P00527000,7.38,-1.44,7.65,8.2,21,0,-0.9891,0.0153,27
Tue Apr 09 2024,SPY240409C00528000,0.03,-0.035,0.02,0.03,1235,0.1387,0.015,0.0093,2606,528.00,SPY240409P00528000,7.95,-1.795,8.66,9.18,2,0,-0.9967,0.0087,12
Tue Apr 09 2024,SPY240409C00529000,0.01,-0.035,0.01,0.02,926,0.1419,0.0106,0.0066,3644,529.00,SPY240409P00529000,10.09,-0.645,9.66,10.19,3,0,-0.9992,0.0018,12
Wed Apr 10 2024,SPY240410C00510000,9.46,0,9.61,9.72,24,0.1956,0.8819,0.0251,369,510.00,SPY240410P00510000,0.46,-0.555,0.45,0.46,2834,0.1953,-0.1183,0.0251,9131
Wed Apr 10 2024,SPY240410C00511000,8.48,-0.145,8.73,8.83,109,0.1929,0.8578,0.029,704,511.00,SPY240410P00511000,0.57,-0.605,0.56,0.57,1849,0.1926,-0.1425,0.029,2307
Wed Apr 10 2024,SPY240410C00512000,7.61,-0.205,7.87,7.96,119,0.1904,0.8298,0.033,2308,512.00,SPY240410P00512000,0.7,-0.665,0.69,0.71,1428,0.1906,-0.1706,0.0331,2303
Wed Apr 10 2024,SPY240410C00513000,7.57,0.545,7.04,7.11,49,0.1876,0.7975,0.0373,1154,513.00,SPY240410P00513000,0.86,-0.73,0.86,0.87,3243,0.1878,-0.2031,0.0374,3338
Wed Apr 10 2024,SPY240410C00514000,6.58,0.31,6.23,6.3,120,0.1846,0.7608,0.0416,828,514.00,SPY240410P00514000,1.05,-0.79,1.05,1.06,1750,0.1848,-0.2399,0.0418,2940
Wed Apr 10 2024,SPY240410C00515000,5.41,-0.15,5.47,5.52,241,0.1824,0.7197,0.0459,1590,515.00,SPY240410P00515000,1.29,-0.84,1.28,1.29,8822,0.1822,-0.2812,0.046,5183
Wed Apr 10 2024,SPY240410C00516000,4.77,-0.115,4.74,4.79,410,0.1797,0.6742,0.0498,902,516.00,SPY240410P00516000,1.53,-0.92,1.55,1.56,4177,0.1791,-0.3269,0.05,1728
Wed Apr 10 2024,SPY240410C00517000,4.1,-0.14,4.06,4.09,1318,0.1763,0.6246,0.0532,1641,517.00,SPY240410P00517000,1.92,-0.895,1.86,1.88,4446,0.1764,-0.3768,0.0535,1727
Wed Apr 10 2024,SPY240410C00518000,3.47,-0.185,3.43,3.45,3220,0.1737,0.5714,0.056,1967,518.00,SPY240410P00518000,2.2,-1.02,2.23,2.24,4311,0.1736,-0.4304,0.0563,1471
Wed Apr 10 2024,SPY240410C00519000,2.85,-0.255,2.85,2.86,7110,0.171,0.5151,0.0578,1840,519.00,SPY240410P00519000,2.61,-1.06,2.64,2.66,5803,0.1705,-0.4871,0.0582,2430
Wed Apr 10 2024,SPY240410C00520000,2.34,-0.26,2.33,2.34,6788,0.1683,0.4568,0.0584,2406,520.00,SPY240410P00520000,3.1,-1.07,3.12,3.13,5051,0.1676,-0.5459,0.0589,2905
Wed Apr 10 2024,SPY240410C00521000,1.89,-0.26,1.86,1.87,4044,0.1655,0.3976,0.0578,1858,521.00,SPY240410P00521000,3.66,-1.055,3.65,3.67,2198,0.1644,-0.6057,0.0583,1354
Wed Apr 10 2024,SPY240410C00522000,1.47,-0.27,1.45,1.46,3451,0.1628,0.339,0.0558,2104,522.00,SPY240410P00522000,4.31,-1,4.23,4.27,468,0.1613,-0.6652,0.0564,1163
Wed Apr 10 2024,SPY240410C00523000,1.13,-0.26,1.11,1.12,5192,0.1596,0.2823,0.0523,6950,523.00,SPY240410P00523000,4.65,-1.31,4.87,4.93,1870,0.1581,-0.7227,0.0531,1317
Wed Apr 10 2024,SPY240410C00524000,0.84,-0.245,0.83,0.84,4167,0.1574,0.2293,0.0477,6609,524.00,SPY240410P00524000,5.87,-0.795,5.59,5.66,172,0.1547,-0.7768,0.0486,1573
Wed Apr 10 2024,SPY240410C00525000,0.61,-0.22,0.6,0.61,5696,0.1548,0.1813,0.0421,14073,525.00,SPY240410P00525000,6.41,-1.005,6.36,6.44,125,0.152,-0.8259,0.0431,925
Wed Apr 10 2024,SPY240410C00526000,0.42,-0.205,0.43,0.44,1309,0.1534,0.1396,0.0359,14733,526.00,SPY240410P00526000,6.79,-1.43,7.17,7.28,4,0.149,-0.869,0.037,531
Wed Apr 10 2024,SPY240410C00527000,0.28,-0.175,0.3,0.31,603,0.1521,0.1049,0.0297,1351,527.00,SPY240410P00527000,8.03,-1.035,8.05,8.17,14,0.1464,-0.9051,0.031,364
Wed Apr 10 2024,SPY240410C00528000,0.22,-0.115,0.21,0.22,1275,0.152,0.0774,0.0238,12336,528.00,SPY240410P00528000,9.08,0,8.98,9.1,0,0.1465,-0.9341,0.0252,348
Wed Apr 10 2024,SPY240410C00529000,0.15,-0.085,0.14,0.15,1334,0.1511,0.0565,0.0186,8191,529.00,SPY240410P00529000,11.46,0,9.92,10.07,0,0.1437,-0.9564,0.0201,164
Thu Apr 11 2024,SPY240411C00510000,9.77,-0.19,10.08,10.19,5,0.1905,0.8526,0.0252,304,510.00,SPY240411P00510000,0.7,-0.58,0.7,0.71,872,0.188,-0.1484,0.0254,1966
Thu Apr 11 2024,SPY240411C00511000,8.9,-0.24,9.24,9.31,27,0.1867,0.8288,0.0282,292,511.00,SPY240411P00511000,0.89,-0.58,0.83,0.84,196,0.1856,-0.1725,0.0284,1223
Thu Apr 11 2024,SPY240411C00512000,9.18,0.835,8.39,8.46,2,0.1836,0.8019,0.0313,917,512.00,SPY240411P00512000,1.03,-0.64,0.98,1,355,0.1825,-0.1996,0.0316,1179
Thu Apr 11 2024,SPY240411C00513000,8.24,0.67,7.58,7.64,113,0.1812,0.7718,0.0345,414,513.00,SPY240411P00513000,1.29,-0.62,1.16,1.18,636,0.1801,-0.23,0.0348,515
Thu Apr 11 2024,SPY240411C00514000,7.06,0.235,6.79,6.85,46,0.1785,0.7383,0.0376,378,514.00,SPY240411P00514000,1.48,-0.68,1.37,1.39,315,0.1774,-0.2638,0.038,1101
Thu Apr 11 2024,SPY240411C00515000,6.23,0.115,6.04,6.09,59,0.176,0.7016,0.0407,755,515.00,SPY240411P00515000,1.61,-0.855,1.62,1.63,1021,0.1746,-0.301,0.0411,2221
Thu Apr 11 2024,SPY240411C00516000,5.31,-0.12,5.31,5.36,173,0.1734,0.6617,0.0435,501,516.00,SPY240411P00516000,1.88,-0.91,1.9,1.92,629,0.1723,-0.3415,0.044,2074
Thu Apr 11 2024,SPY240411C00517000,4.64,-0.155,4.64,4.67,249,0.1703,0.6187,0.046,468,517.00,SPY240411P00517000,2.22,-0.93,2.22,2.24,4658,0.1699,-0.3851,0.0467,1802
Thu Apr 11 2024,SPY240411C00518000,4.04,-0.155,4.01,4.03,1136,0.1676,0.5729,0.0481,2760,518.00,SPY240411P00518000,2.6,-0.955,2.59,2.61,2101,0.167,-0.4316,0.0488,763
Thu Apr 11 2024,SPY240411C00519000,3.43,-0.2,3.42,3.43,2132,0.1649,0.5248,0.0496,1637,519.00,SPY240411P00519000,2.98,-1.02,3.01,3.02,1820,0.1646,-0.4807,0.0505,826
Thu Apr 11 2024,SPY240411C00520000,2.89,-0.22,2.87,2.89,2079,0.1625,0.4748,0.0504,1213,520.00,SPY240411P00520000,3.47,-1.025,3.47,3.49,1717,0.1622,-0.5318,0.0515,1235
Thu Apr 11 2024,SPY240411C00521000,2.4,-0.23,2.37,2.38,1791,0.1595,0.4236,0.0504,1312,521.00,SPY240411P00521000,4.05,-0.98,3.98,4,937,0.1594,-0.5844,0.0517,581
Thu Apr 11 2024,SPY240411C00522000,1.87,-0.33,1.92,1.94,657,0.1567,0.372,0.0496,2138,522.00,SPY240411P00522000,4.39,-1.215,4.54,4.58,119,0.1569,-0.6375,0.051,663
Thu Apr 11 2024,SPY240411C00523000,1.51,-0.3,1.53,1.55,1158,0.1539,0.3211,0.0478,11182,523.00,SPY240411P00523000,4.99,-1.24,5.15,5.2,26,0.1544,-0.6904,0.0494,764
Thu Apr 11 2024,SPY240411C00524000,1.14,-0.33,1.2,1.21,362,0.1512,0.2718,0.045,1020,524.00,SPY240411P00524000,5.28,-1.625,5.83,5.89,27,0.1519,-0.7417,0.0469,914
Thu Apr 11 2024,SPY240411C00525000,0.93,-0.24,0.92,0.93,615,0.1485,0.2255,0.0414,2826,525.00,SPY240411P00525000,6.19,-1.435,6.54,6.63,23,0.1492,-0.7906,0.0436,233
Thu Apr 11 2024,SPY240411C00526000,0.68,-0.24,0.69,0.7,4139,0.1462,0.1832,0.0371,1799,526.00,SPY240411P00526000,6.94,-1.455,7.33,7.43,3,0.1471,-0.8358,0.0396,160
Thu Apr 11 2024,SPY240411C00527000,0.5,-0.205,0.51,0.52,1806,0.1444,0.1457,0.0324,1408,527.00,SPY240411P00527000,12.86,0,8.17,8.29,0,0.1454,-0.8765,0.0352,57
Thu Apr 11 2024,SPY240411C00528000,0.36,-0.17,0.37,0.38,1105,0.1429,0.1137,0.0276,16309,528.00,SPY240411P00528000,13.68,0,9.04,9.19,0,0.1434,-0.912,0.0306,71
Thu Apr 11 2024,SPY240411C00529000,0.26,-0.135,0.26,0.27,290,0.1413,0.0873,0.0229,1931,529.00,SPY240411P00529000,9.23,-1.715,9.95,10.09,10,0.1428,-0.9421,0.0262,7
Fri Apr 12 2024,SPY240412C00512000,9.39,0.665,8.77,8.83,173,0.179,0.7793,0.0298,2269,512.00,SPY240412P00512000,1.26,-0.71,1.27,1.28,4222,0.1785,-0.2227,0.0301,17896
Fri Apr 12 2024,SPY240412C00512500,8.71,0.37,8.36,8.42,34,0.1774,0.7655,0.0311,2232,512.50,SPY240412P00512500,1.4,-0.69,1.36,1.38,1682,0.1769,-0.2366,0.0314,3830
Fri Apr 12 2024,SPY240412C00513000,7.8,-0.16,7.97,8.02,75,0.1763,0.7511,0.0323,2506,513.00,SPY240412P00513000,1.55,-0.665,1.46,1.47,15486,0.1755,-0.2512,0.0327,15708
Fri Apr 12 2024,SPY240412C00514000,7.41,0.185,7.19,7.24,133,0.1735,0.7202,0.0348,2156,514.00,SPY240412P00514000,1.78,-0.7,1.68,1.7,1730,0.1729,-0.2826,0.0353,6617
Fri Apr 12 2024,SPY240412C00515000,6.5,-0.02,6.45,6.49,453,0.171,0.6866,0.0373,10328,515.00,SPY240412P00515000,1.94,-0.84,1.94,1.95,9962,0.1701,-0.3166,0.0378,22686
Fri Apr 12 2024,SPY240412C00516000,5.6,-0.24,5.73,5.77,651,0.1681,0.6504,0.0395,3988,516.00,SPY240412P00516000,2.21,-0.895,2.23,2.24,2636,0.1676,-0.3534,0.0401,6961
Fri Apr 12 2024,SPY240412C00517000,5.04,-0.165,5.05,5.07,942,0.1654,0.6116,0.0416,3218,517.00,SPY240412P00517000,2.55,-0.92,2.55,2.56,3358,0.1648,-0.393,0.0423,6954
Fri Apr 12 2024,SPY240412C00517500,4.77,-0.12,4.72,4.75,1041,0.1639,0.5913,0.0425,2566,517.50,SPY240412P00517500,2.65,-1.01,2.72,2.74,1566,0.1634,-0.4136,0.0432,2621
Fri Apr 12 2024,SPY240412C00518000,4.41,-0.18,4.41,4.43,3960,0.1626,0.5704,0.0433,6507,518.00,SPY240412P00518000,2.91,-0.96,2.91,2.93,7091,0.1621,-0.4349,0.0441,6129
Fri Apr 12 2024,SPY240412C00519000,3.82,-0.2,3.81,3.83,11504,0.16,0.5272,0.0446,5377,519.00,SPY240412P00519000,3.31,-0.995,3.31,3.33,8710,0.1596,-0.4792,0.0456,9742
Fri Apr 12 2024,SPY240412C00520000,3.28,-0.21,3.26,3.27,31584,0.1574,0.4822,0.0454,14132,520.00,SPY240412P00520000,3.78,-1.01,3.77,3.79,23912,0.157,-0.5253,0.0465,14708
Fri Apr 12 2024,SPY240412C00521000,2.78,-0.225,2.75,2.76,2715,0.1548,0.4361,0.0457,5193,521.00,SPY240412P00521000,4.31,-1.015,4.26,4.29,2932,0.1545,-0.5728,0.0469,13703
Fri Apr 12 2024,SPY240412C00522000,2.3,-0.25,2.28,2.3,2346,0.152,0.3893,0.0452,7494,522.00,SPY240412P00522000,5,-0.875,4.81,4.84,514,0.152,-0.6213,0.0467,4201
Fri Apr 12 2024,SPY240412C00523000,1.87,-0.27,1.87,1.88,3417,0.1491,0.3427,0.0441,15104,523.00,SPY240412P00523000,5.59,-0.89,5.41,5.45,2695,0.1495,-0.6699,0.0458,4580
Fri Apr 12 2024,SPY240412C00524000,1.51,-0.27,1.51,1.52,2753,0.1468,0.2969,0.0422,10832,524.00,SPY240412P00524000,6.15,-0.975,6.05,6.1,335,0.147,-0.7179,0.0442,3456
Fri Apr 12 2024,SPY240412C00525000,1.19,-0.265,1.19,1.2,3978,0.144,0.2529,0.0397,7042,525.00,SPY240412P00525000,7.08,-0.74,6.75,6.81,283,0.145,-0.7645,0.0419,4989
Fri Apr 12 2024,SPY240412C00526000,0.92,-0.25,0.92,0.93,7364,0.1413,0.2116,0.0365,6530,526.00,SPY240412P00526000,7.32,-1.23,7.5,7.58,66,0.1431,-0.8088,0.039,1667
Fri Apr 12 2024,SPY240412C00527000,0.69,-0.235,0.7,0.71,1245,0.1391,0.1737,0.0329,5374,527.00,SPY240412P00527000,7.52,-1.815,8.3,8.39,120,0.1412,-0.8502,0.0357,3573
Fri Apr 12 2024,SPY240412C00528000,0.53,-0.185,0.53,0.54,2047,0.1377,0.1398,0.0289,39756,528.00,SPY240412P00528000,8.53,-1.62,9.13,9.26,5,0.1386,-0.8878,0.032,212
Fri Apr 12 2024,SPY240412C00529000,0.4,-0.145,0.39,0.4,926,0.136,0.1105,0.0248,6409,529.00,SPY240412P00529000,11.06,0.045,10.03,10.14,3,0.1381,-0.9212,0.0283,62
Mon Apr 15 2024,SPY240415C00500000,20.85,1.365,19.88,20.02,41,0.179,0.9383,0.0093,53,500.00,SPY240415P00500000,0.34,-0.32,0.34,0.35,674,0.1786,-0.0619,0.0094,3518
Mon Apr 15 2024,SPY240415C00505000,15.24,0.325,15.17,15.28,42,0.165,0.8924,0.0154,174,505.00,SPY240415P00505000,0.65,-0.43,0.61,0.62,1104,0.1645,-0.1079,0.0154,1460
Mon Apr 15 2024,SPY240415C00510000,10.44,-0.225,10.74,10.81,78,0.1524,0.8103,0.0243,324,510.00,SPY240415P00510000,1.18,-0.65,1.17,1.18,1248,0.1525,-0.1912,0.0246,2438
Mon Apr 15 2024,SPY240415C00513000,8.65,0.32,8.3,8.36,23,0.1461,0.7369,0.0306,453,513.00,SPY240415P00513000,1.73,-0.77,1.71,1.73,251,0.1458,-0.2656,0.031,570
Mon Apr 15 2024,SPY240415C00514000,7.75,0.15,7.53,7.59,16,0.1438,0.7078,0.0327,545,514.00,SPY240415P00514000,2.03,-0.745,1.94,1.96,430,0.1435,-0.2952,0.0332,1166
Mon Apr 15 2024,SPY240415C00515000,6.79,-0.11,6.8,6.84,209,0.1417,0.6764,0.0347,760,515.00,SPY240415P00515000,2.21,-0.865,2.21,2.23,804,0.1413,-0.3271,0.0353,1271
Mon Apr 15 2024,SPY240415C00516000,6,-0.225,6.09,6.13,397,0.1395,0.6427,0.0367,461,516.00,SPY240415P00516000,2.5,-0.905,2.5,2.52,305,0.1394,-0.3615,0.0373,613
Mon Apr 15 2024,SPY240415C00517000,5.44,-0.145,5.41,5.45,530,0.1374,0.6068,0.0383,465,517.00,SPY240415P00517000,2.83,-0.945,2.82,2.84,726,0.137,-0.3981,0.0391,868
Mon Apr 15 2024,SPY240415C00518000,4.79,-0.185,4.77,4.8,1737,0.1353,0.569,0.0398,851,518.00,SPY240415P00518000,3.18,-0.985,3.19,3.21,1027,0.1351,-0.4369,0.0406,462
Mon Apr 15 2024,SPY240415C00519000,4.02,-0.385,4.18,4.2,1811,0.1331,0.5293,0.0409,725,519.00,SPY240415P00519000,3.57,-1.035,3.59,3.62,1592,0.1329,-0.4776,0.0419,599
Mon Apr 15 2024,SPY240415C00520000,3.64,-0.225,3.62,3.64,2523,0.1311,0.4882,0.0416,1011,520.00,SPY240415P00520000,4.01,-1.065,4.05,4.07,967,0.131,-0.52,0.0428,1605
Mon Apr 15 2024,SPY240415C00521000,3.06,-0.305,3.1,3.12,802,0.129,0.446,0.0419,505,521.00,SPY240415P00521000,4.53,-1.06,4.54,4.56,366,0.1291,-0.5637,0.0432,1008
Mon Apr 15 2024,SPY240415C00522000,2.66,-0.245,2.62,2.65,932,0.1271,0.4032,0.0417,890,522.00,SPY240415P00522000,4.6,-1.54,5.07,5.1,22,0.1271,-0.6081,0.0432,845
Mon Apr 15 2024,SPY240415C00523000,2.21,-0.27,2.2,2.22,911,0.1251,0.3603,0.0409,1174,523.00,SPY240415P00523000,5.34,-1.395,5.65,5.7,133,0.1252,-0.653,0.0426,467
Mon Apr 15 2024,SPY240415C00524000,1.77,-0.33,1.82,1.83,1048,0.1231,0.318,0.0396,1149,524.00,SPY240415P00524000,5.92,-1.45,6.27,6.33,22,0.1234,-0.6975,0.0416,1379
Mon Apr 15 2024,SPY240415C00525000,1.48,-0.27,1.48,1.49,1190,0.1213,0.2768,0.0378,997,525.00,SPY240415P00525000,6.8,-1.235,6.96,7.02,334,0.1218,-0.7413,0.04,313
Mon Apr 15 2024,SPY240415C00526000,1.13,-0.32,1.19,1.2,1194,0.1194,0.2374,0.0354,671,526.00,SPY240415P00526000,7.16,-1.595,7.68,7.76,3,0.1202,-0.7836,0.0379,117
Mon Apr 15 2024,SPY240415C00527000,0.93,-0.25,0.94,0.95,452,0.1177,0.2005,0.0326,619,527.00,SPY240415P00527000,9.2,-0.315,8.44,8.54,3,0.1183,-0.8238,0.0354,235
Mon Apr 15 2024,SPY240415C00528000,0.72,-0.23,0.73,0.74,451,0.116,0.1667,0.0294,425,528.00,SPY240415P00528000,9.46,-0.85,9.25,9.38,1,0.1168,-0.8614,0.0326,139
Mon Apr 15 2024,SPY240415C00529000,0.6,-0.15,0.56,0.57,464,0.1146,0.1363,0.026,569,529.00,SPY240415P00529000,13.5,0,10.12,10.25,0,0.1157,-0.8959,0.0295,9
Tue Apr 16 2024,SPY240416C00505000,15.43,0.26,15.39,15.5,1,0.1645,0.8789,0.0156,192,505.00,SPY240416P00505000,0.78,-0.48,0.76,0.77,62,0.1646,-0.1218,0.0158,383
Tue Apr 16 2024,SPY240416C00510000,11.92,0.97,11.01,11.08,21,0.1524,0.7977,0.0237,24,510.00,SPY240416P00510000,1.43,-0.61,1.35,1.37,200,0.1524,-0.2042,0.024,1005
Tue Apr 16 2024,SPY240416C00512000,9.87,0.485,9.37,9.44,25,0.148,0.7526,0.0274,98,512.00,SPY240416P00512000,1.85,-0.625,1.71,1.73,440,0.148,-0.25,0.0278,338
